"fecha","horizonte","expectativa","v_i"
2009-06-01,"Año actual",5,NA
2009-06-01,"12 meses",5.42,NA
2009-06-01,"Año siguiente",6,NA
2009-06-01,"24 meses",NA,NA
2009-07-01,"Año actual",6,NA
2009-07-01,"12 meses",6.5,NA
2009-07-01,"Año siguiente",7,NA
2009-07-01,"24 meses",NA,NA
2009-08-01,"Año actual",6,NA
2009-08-01,"12 meses",6.11,NA
2009-08-01,"Año siguiente",6.1,NA
2009-08-01,"24 meses",NA,NA
2009-09-01,"Año actual",6,NA
2009-09-01,"12 meses",6,NA
2009-09-01,"Año siguiente",6.9,NA
2009-09-01,"24 meses",NA,NA
2009-10-01,"Año actual",6,NA
2009-10-01,"12 meses",5.735,NA
2009-10-01,"Año siguiente",6.98,NA
2009-10-01,"24 meses",NA,NA
2009-11-01,"Año actual",5.435,NA
2009-11-01,"12 meses",6,NA
2009-11-01,"Año siguiente",6.575,NA
2009-11-01,"24 meses",NA,NA
2009-12-01,"Año actual",6,NA
2009-12-01,"12 meses",6.505,NA
2009-12-01,"Año siguiente",7,NA
2009-12-01,"24 meses",NA,NA
2010-01-01,"Año actual",7,NA
2010-01-01,"12 meses",6.98,NA
2010-01-01,"Año siguiente",6.18,NA
2010-01-01,"24 meses",NA,NA
2010-02-01,"Año actual",6.65,NA
2010-02-01,"12 meses",6.7,NA
2010-02-01,"Año siguiente",6.75,NA
2010-02-01,"24 meses",NA,NA
2010-03-01,"Año actual",6.5,NA
2010-03-01,"12 meses",6.4,NA
2010-03-01,"Año siguiente",6,NA
2010-03-01,"24 meses",NA,NA
2010-04-01,"Año actual",6.825,NA
2010-04-01,"12 meses",6.7,NA
2010-04-01,"Año siguiente",6.54,NA
2010-04-01,"24 meses",NA,NA
2010-05-01,"Año actual",7,NA
2010-05-01,"12 meses",7.87,NA
2010-05-01,"Año siguiente",6.75,NA
2010-05-01,"24 meses",NA,NA
2010-06-01,"Año actual",7,NA
2010-06-01,"12 meses",7,NA
2010-06-01,"Año siguiente",6.5,NA
2010-06-01,"24 meses",NA,NA
2010-07-01,"Año actual",6.4,NA
